time,x,y,height
0,333275.8493886112,333317.68653983145,1500
1,333218.6987772224,333302.3730796629,1500
2,333161.54816583364,333287.05961949436,1500
3,333104.39755444485,333271.7461593258,1500
4,333047.24694305606,333256.4326991573,1500
5,332990.0963316673,333241.11923898873,1500
6,332932.9457202785,333225.8057788202,1500
7,332875.7951088897,333210.49231865164,1500
8,332818.6444975009,333195.1788584831,1500
9,332761.4938861121,333179.86539831455,1500
10,332704.34327472333,333164.551938146,1500
11,332647.19266333454,333149.23847797746,1500
12,332590.04205194575,333133.9250178089,1500
13,332532.89144055697,333118.61155764037,1500
14,332475.7408291682,333103.2980974718,1500
15,332418.5902177794,333087.9846373033,1500
16,332361.4396063906,333072.67117713473,1500
17,332304.2889950018,333057.3577169662,1500
18,332247.138383613,333042.04425679764,1500
19,332189.98777222424,333026.7307966291,1500
20,332132.83716083545,333011.41733646055,1500
21,332075.68654944666,332996.103876292,1500
22,332018.5359380579,332980.79041612346,1500
23,331961.3853266691,332965.4769559549,1500
24,331904.2347152803,332950.1634957864,1500
25,331847.0841038915,332934.8500356178,1500
26,331789.9334925027,332919.5365754493,1500
27,331732.78288111393,332904.22311528074,1500
28,331675.63226972515,332888.9096551122,1500
29,331618.48165833636,332873.59619494365,1500
30,331561.33104694757,332858.2827347751,1500
31,331504.1804355588,332842.96927460656,1500
32,331447.02982417,332827.655814438,1500
33,331389.8792127812,332812.34235426947,1500
34,331332.7286013924,332797.0288941009,1500
35,331275.5779900036,332781.7154339324,1500
36,331218.42737861484,332766.40197376383,1500
37,331161.27676722605,332751.0885135953,1500
38,331104.12615583726,332735.77505342674,1500
39,331046.9755444485,332720.4615932582,1500
40,330989.8249330597,332705.14813308965,1500
41,330932.6743216709,332689.8346729211,1500
42,330875.5237102821,332674.52121275256,1500
43,330818.3730988933,332659.207752584,1500
44,330761.22248750454,332643.89429241547,1500
45,330704.07187611575,332628.5808322469,1500
46,330646.92126472696,332613.2673720784,1500
47,330589.7706533382,332597.95391190983,1500
48,330532.6200419494,332582.6404517413,1500
49,330475.4694305606,332567.32699157274,1500
50,330418.3188191718,332552.0135314042,1500
51,330361.168207783,332536.70007123565,1500
52,330304.01759639423,332521.3866110671,1500
53,330246.86698500544,332506.07315089856,1500
54,330189.71637361665,332490.75969073,1500
55,330132.56576222787,332475.4462305615,1500
56,330075.4151508391,332460.1327703929,1500
57,330018.2645394503,332444.8193102244,1500
58,329961.1139280615,332429.50585005584,1500
59,329903.9633166727,332414.1923898873,1500
60,329846.8127052839,332398.87892971875,1500
61,329789.66209389514,332383.5654695502,1500
62,329732.51148250635,332368.25200938166,1500
63,329675.36087111756,332352.9385492131,1500
64,329618.2102597288,332337.62508904457,1500
65,329561.05964834,332322.311628876,1500
66,329503.9090369512,332306.9981687075,1500
67,329446.7584255624,332291.68470853893,1500
68,329389.6078141736,332276.3712483704,1500
69,329332.45720278483,332261.05778820184,1500
